phone,score,status,first_seen,last_seen,age_days,seen_runs,independent_spam_groups,safe_groups,best_evidence,max_source_weight,reasons
919896017,99.8,BLOCK,2026-08-31T21:32:23+00:00,2026-09-14T20:22:20+00:00,7,15,2,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=2 -> +12.0 | seen_runs=15 -> +12.0 | age_days=7 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
848982683,87.8,BLOCK,2026-08-25T20:48:08+00:00,2026-09-21T20:29:27+00:00,0,22,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=22 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
851816641,87.8,BLOCK,2026-08-26T17:34:45+00:00,2026-09-17T19:47:48+00:00,4,8,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=8 -> +12.0 | age_days=4 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
851816649,87.8,BLOCK,2026-09-04T19:03:03+00:00,2026-09-17T19:47:48+00:00,4,7,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=7 -> +12.0 | age_days=4 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
851816660,87.8,BLOCK,2026-09-01T19:28:04+00:00,2026-09-15T19:45:50+00:00,6,8,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=8 -> +12.0 | age_days=6 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
851816699,87.8,BLOCK,2026-08-25T20:48:08+00:00,2026-09-21T20:29:27+00:00,0,16,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=16 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
851823016,87.8,BLOCK,2026-09-15T19:45:50+00:00,2026-09-18T19:06:05+00:00,3,4,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=4 -> +12.0 | age_days=3 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
851823457,87.8,BLOCK,2026-08-29T00:37:48+00:00,2026-09-18T19:06:05+00:00,3,7,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=7 -> +12.0 | age_days=3 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
851823493,87.8,BLOCK,2026-09-10T19:11:24+00:00,2026-09-15T19:45:50+00:00,6,4,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=4 -> +12.0 | age_days=6 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
851823557,87.8,BLOCK,2026-09-02T19:27:12+00:00,2026-09-18T19:06:05+00:00,3,8,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=8 -> +12.0 | age_days=3 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
851823570,87.8,BLOCK,2026-08-26T17:34:45+00:00,2026-09-16T19:37:49+00:00,5,6,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=6 -> +12.0 | age_days=5 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
854794016,87.8,BLOCK,2026-09-16T19:37:49+00:00,2026-09-21T20:29:27+00:00,0,4,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=4 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
854794404,87.8,BLOCK,2026-09-09T19:21:13+00:00,2026-09-15T19:45:50+00:00,6,4,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=4 -> +12.0 | age_days=6 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
854794502,87.8,BLOCK,2026-08-25T20:48:08+00:00,2026-09-21T20:29:27+00:00,0,21,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=21 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
854794897,87.8,BLOCK,2026-09-11T19:13:24+00:00,2026-09-17T19:47:48+00:00,4,5,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=5 -> +12.0 | age_days=4 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
854900333,87.8,BLOCK,2026-08-29T00:37:48+00:00,2026-09-15T19:45:50+00:00,6,8,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=8 -> +12.0 | age_days=6 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
854900334,87.8,BLOCK,2026-08-25T20:48:08+00:00,2026-09-17T19:47:48+00:00,4,6,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=6 -> +12.0 | age_days=4 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
854900338,87.8,BLOCK,2026-08-26T17:34:45+00:00,2026-09-18T19:06:05+00:00,3,8,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=8 -> +12.0 | age_days=3 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
854900339,87.8,BLOCK,2026-08-26T17:34:45+00:00,2026-09-21T20:29:27+00:00,0,5,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=5 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
856638730,87.8,BLOCK,2026-08-25T20:48:08+00:00,2026-09-15T19:45:50+00:00,6,4,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=4 -> +12.0 | age_days=6 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
856638743,87.8,BLOCK,2026-08-25T20:48:08+00:00,2026-09-21T20:29:27+00:00,0,17,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=17 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
856638753,87.8,BLOCK,2026-08-25T20:48:08+00:00,2026-09-18T19:06:05+00:00,3,16,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=16 -> +12.0 | age_days=3 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
856638767,87.8,BLOCK,2026-09-11T19:13:24+00:00,2026-09-21T20:29:27+00:00,0,7,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=7 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
856638905,87.8,BLOCK,2026-09-16T19:37:49+00:00,2026-09-21T20:29:27+00:00,0,4,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=4 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
865459012,87.8,BLOCK,2026-09-09T19:21:13+00:00,2026-09-17T19:47:48+00:00,4,5,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=5 -> +12.0 | age_days=4 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
868293013,87.8,BLOCK,2026-09-16T19:37:49+00:00,2026-09-21T20:29:27+00:00,0,4,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=4 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
900470000,87.8,BLOCK,2026-08-25T20:48:08+00:00,2026-09-18T19:06:05+00:00,3,9,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=9 -> +12.0 | age_days=3 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
900499101,87.8,BLOCK,2026-08-29T00:37:48+00:00,2026-09-15T19:45:50+00:00,6,5,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=5 -> +12.0 | age_days=6 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
910612385,87.8,BLOCK,2026-09-01T19:28:04+00:00,2026-09-18T19:06:05+00:00,3,6,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=6 -> +12.0 | age_days=3 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
910612398,87.8,BLOCK,2026-08-25T20:48:08+00:00,2026-09-17T19:47:48+00:00,4,11,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=11 -> +12.0 | age_days=4 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
910629700,87.8,BLOCK,2026-09-08T19:29:58+00:00,2026-09-21T20:29:27+00:00,0,6,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=6 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
910629753,87.8,BLOCK,2026-09-02T19:27:12+00:00,2026-09-17T19:47:48+00:00,4,8,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=8 -> +12.0 | age_days=4 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
910629757,87.8,BLOCK,2026-09-04T19:03:03+00:00,2026-09-18T19:06:05+00:00,3,4,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=4 -> +12.0 | age_days=3 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
910629842,87.8,BLOCK,2026-09-03T19:21:36+00:00,2026-09-21T20:29:27+00:00,0,9,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=9 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
910629943,87.8,BLOCK,2026-09-04T19:03:03+00:00,2026-09-18T19:06:05+00:00,3,7,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=7 -> +12.0 | age_days=3 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
910861524,87.8,BLOCK,2026-08-29T19:28:26+00:00,2026-09-21T20:29:27+00:00,0,8,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=8 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
911173706,87.8,BLOCK,2026-09-09T19:21:13+00:00,2026-09-21T20:29:27+00:00,0,8,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=8 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
911210900,87.8,BLOCK,2026-09-04T19:03:03+00:00,2026-09-15T19:45:50+00:00,6,4,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=4 -> +12.0 | age_days=6 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
911319342,87.8,BLOCK,2026-08-29T19:28:26+00:00,2026-09-17T19:47:48+00:00,4,9,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=9 -> +12.0 | age_days=4 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
911319345,87.8,BLOCK,2026-08-28T01:00:53+00:00,2026-09-18T19:06:05+00:00,3,7,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=7 -> +12.0 | age_days=3 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
911319347,87.8,BLOCK,2026-08-25T20:48:08+00:00,2026-09-17T19:47:48+00:00,4,7,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=7 -> +12.0 | age_days=4 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
911410438,87.8,BLOCK,2026-08-29T00:37:48+00:00,2026-09-18T19:06:05+00:00,3,9,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=9 -> +12.0 | age_days=3 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
911969176,87.8,BLOCK,2026-08-25T20:48:08+00:00,2026-09-21T20:29:27+00:00,0,21,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=21 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
912222123,87.8,BLOCK,2026-08-25T20:48:08+00:00,2026-09-21T20:29:27+00:00,0,22,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=22 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
914566686,87.8,BLOCK,2026-08-25T20:48:08+00:00,2026-09-21T20:29:27+00:00,0,17,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=17 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
917220650,87.8,BLOCK,2026-08-29T00:37:48+00:00,2026-09-18T19:06:05+00:00,3,7,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=7 -> +12.0 | age_days=3 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
917938588,87.8,BLOCK,2026-09-03T19:21:36+00:00,2026-09-21T20:29:27+00:00,0,6,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=6 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
917938665,87.8,BLOCK,2026-09-08T19:29:58+00:00,2026-09-21T20:29:27+00:00,0,5,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=5 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
917938666,87.8,BLOCK,2026-09-03T19:21:36+00:00,2026-09-15T19:45:50+00:00,6,4,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=4 -> +12.0 | age_days=6 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
917938670,87.8,BLOCK,2026-09-03T19:21:36+00:00,2026-09-21T20:29:27+00:00,0,8,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=8 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
917943160,87.8,BLOCK,2026-09-09T19:21:13+00:00,2026-09-18T19:06:05+00:00,3,7,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=7 -> +12.0 | age_days=3 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
919076725,87.8,BLOCK,2026-08-25T20:48:08+00:00,2026-09-18T19:06:05+00:00,3,9,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=9 -> +12.0 | age_days=3 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
919462043,87.8,BLOCK,2026-09-08T19:29:58+00:00,2026-09-17T19:47:48+00:00,4,5,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=5 -> +12.0 | age_days=4 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
919462054,87.8,BLOCK,2026-09-12T18:28:48+00:00,2026-09-21T20:29:27+00:00,0,5,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=5 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
919462068,87.8,BLOCK,2026-08-26T17:34:45+00:00,2026-09-17T19:47:48+00:00,4,10,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=10 -> +12.0 | age_days=4 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
919462081,87.8,BLOCK,2026-08-26T17:34:45+00:00,2026-09-18T19:06:05+00:00,3,7,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=7 -> +12.0 | age_days=3 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
919462209,87.8,BLOCK,2026-09-11T19:13:24+00:00,2026-09-17T19:47:48+00:00,4,4,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=4 -> +12.0 | age_days=4 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
919462316,87.8,BLOCK,2026-08-25T20:48:08+00:00,2026-09-18T19:06:05+00:00,3,12,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=12 -> +12.0 | age_days=3 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
919462698,87.8,BLOCK,2026-08-26T17:34:45+00:00,2026-09-21T20:29:27+00:00,0,19,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=19 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
919462781,87.8,BLOCK,2026-08-26T17:34:45+00:00,2026-09-17T19:47:48+00:00,4,9,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=9 -> +12.0 | age_days=4 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
919462816,87.8,BLOCK,2026-08-25T20:48:08+00:00,2026-09-16T19:37:49+00:00,5,6,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=6 -> +12.0 | age_days=5 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
919462983,87.8,BLOCK,2026-08-29T19:28:26+00:00,2026-09-18T19:06:05+00:00,3,6,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=6 -> +12.0 | age_days=3 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
919490321,87.8,BLOCK,2026-08-25T20:48:08+00:00,2026-09-21T20:29:27+00:00,0,22,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=22 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
919791150,87.8,BLOCK,2026-08-25T20:48:08+00:00,2026-09-21T20:29:27+00:00,0,22,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=22 -> +12.0 | age_days=0 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
919900422,87.8,BLOCK,2026-08-25T20:48:08+00:00,2026-09-16T19:37:49+00:00,5,4,1,0,explicit_spam,0.95,"max_source_weight=0.95 -> 42.8 | best_evidence=explicit_spam -> +25.0 | independent_spam_groups=1 -> +0.0 | seen_runs=4 -> +12.0 | age_days=5 -> recency +8.0, stale 0.0 | safe_groups=0 -> 0.0"
